"species"	"site"	"season"	"count"
"3"	"53"	"1"	16
"4"	"53"	"1"	16
"5"	"53"	"1"	0
"6"	"53"	"1"	24
"7"	"53"	"1"	0
"8"	"53"	"1"	0
"9"	"53"	"1"	9
"10"	"53"	"1"	10
"1"	"54"	"1"	1
"2"	"54"	"1"	4
"3"	"54"	"1"	7
"4"	"54"	"1"	17
"5"	"54"	"1"	0
"6"	"54"	"1"	9
"7"	"54"	"1"	0
"8"	"54"	"1"	0
"9"	"54"	"1"	4
"10"	"54"	"1"	4
"1"	"55"	"1"	0
"2"	"55"	"1"	18
"3"	"55"	"1"	2
"4"	"55"	"1"	3
"5"	"55"	"1"	0
"6"	"55"	"1"	0
"7"	"55"	"1"	1
"8"	"55"	"1"	0
"9"	"55"	"1"	0
"10"	"55"	"1"	0
"1"	"56"	"1"	NA
"2"	"56"	"1"	NA
"3"	"56"	"1"	NA
"4"	"56"	"1"	NA
"5"	"56"	"1"	NA
"6"	"56"	"1"	NA
"7"	"56"	"1"	NA
"8"	"56"	"1"	NA
"9"	"56"	"1"	NA
"10"	"56"	"1"	NA
"1"	"57"	"1"	1
"2"	"57"	"1"	8
"3"	"57"	"1"	0
"4"	"57"	"1"	3
"5"	"57"	"1"	0
"6"	"57"	"1"	0
"7"	"57"	"1"	0
"8"	"57"	"1"	0
"9"	"57"	"1"	0
"10"	"57"	"1"	0
"1"	"58"	"1"	NA
"2"	"58"	"1"	NA
"3"	"58"	"1"	NA
"4"	"58"	"1"	NA
"5"	"58"	"1"	NA
"6"	"58"	"1"	NA
"7"	"58"	"1"	NA
"8"	"58"	"1"	NA
"9"	"58"	"1"	NA
"10"	"58"	"1"	NA
"1"	"59"	"1"	2
"2"	"59"	"1"	0
"3"	"59"	"1"	1
"4"	"59"	"1"	2
"5"	"59"	"1"	0
"6"	"59"	"1"	0
"7"	"59"	"1"	0
"8"	"59"	"1"	0
"9"	"59"	"1"	0
"10"	"59"	"1"	0
"1"	"60"	"1"	NA
"2"	"60"	"1"	NA
"3"	"60"	"1"	NA
"4"	"60"	"1"	NA
"5"	"60"	"1"	NA
"6"	"60"	"1"	NA
"7"	"60"	"1"	NA
"8"	"60"	"1"	NA
"9"	"60"	"1"	NA
"10"	"60"	"1"	NA
"1"	"61"	"1"	NA
"2"	"61"	"1"	NA
"3"	"61"	"1"	NA
"4"	"61"	"1"	NA
"5"	"61"	"1"	NA
"6"	"61"	"1"	NA
"7"	"61"	"1"	NA
"8"	"61"	"1"	NA
"9"	"61"	"1"	NA
