"species"	"site"	"season"	"count"
"3"	"40"	"1"	0
"4"	"40"	"1"	0
"5"	"40"	"1"	0
"1"	"41"	"1"	1
"2"	"41"	"1"	0
"3"	"41"	"1"	0
"4"	"41"	"1"	2
"5"	"41"	"1"	1
"1"	"42"	"1"	0
"2"	"42"	"1"	0
"3"	"42"	"1"	0
"4"	"42"	"1"	1
"5"	"42"	"1"	1
"1"	"43"	"1"	0
"2"	"43"	"1"	0
"3"	"43"	"1"	1
"4"	"43"	"1"	0
"5"	"43"	"1"	0
"1"	"44"	"1"	NA
"2"	"44"	"1"	NA
"3"	"44"	"1"	NA
"4"	"44"	"1"	NA
"5"	"44"	"1"	NA
"1"	"45"	"1"	NA
"2"	"45"	"1"	NA
"3"	"45"	"1"	NA
"4"	"45"	"1"	NA
"5"	"45"	"1"	NA
"1"	"46"	"1"	0
"2"	"46"	"1"	0
"3"	"46"	"1"	0
"4"	"46"	"1"	7
"5"	"46"	"1"	3
"1"	"47"	"1"	1
"2"	"47"	"1"	0
"3"	"47"	"1"	0
"4"	"47"	"1"	3
"5"	"47"	"1"	3
"1"	"48"	"1"	3
"2"	"48"	"1"	0
"3"	"48"	"1"	0
"4"	"48"	"1"	1
"5"	"48"	"1"	0
"1"	"49"	"1"	8
"2"	"49"	"1"	0
"3"	"49"	"1"	7
"4"	"49"	"1"	10
"5"	"49"	"1"	26
"1"	"50"	"1"	2
"2"	"50"	"1"	0
"3"	"50"	"1"	0
"4"	"50"	"1"	1
"5"	"50"	"1"	0
"1"	"51"	"1"	1
"2"	"51"	"1"	0
"3"	"51"	"1"	0
"4"	"51"	"1"	0
"5"	"51"	"1"	0
"1"	"52"	"1"	4
"2"	"52"	"1"	0
"3"	"52"	"1"	1
"4"	"52"	"1"	4
"5"	"52"	"1"	3
"1"	"53"	"1"	0
"2"	"53"	"1"	0
"3"	"53"	"1"	0
"4"	"53"	"1"	0
"5"	"53"	"1"	0
"1"	"54"	"1"	4
"2"	"54"	"1"	0
"3"	"54"	"1"	0
"4"	"54"	"1"	4
"5"	"54"	"1"	1
"1"	"55"	"1"	2
"2"	"55"	"1"	0
"3"	"55"	"1"	0
"4"	"55"	"1"	10
"5"	"55"	"1"	16
"1"	"56"	"1"	0
"2"	"56"	"1"	0
"3"	"56"	"1"	0
"4"	"56"	"1"	0
"5"	"56"	"1"	1
"1"	"57"	"1"	1
"2"	"57"	"1"	0
"3"	"57"	"1"	0
"4"	"57"	"1"	1
"5"	"57"	"1"	0
"1"	"58"	"1"	5
"2"	"58"	"1"	0
"3"	"58"	"1"	0
"4"	"58"	"1"	8
"5"	"58"	"1"	10
"1"	"59"	"1"	1
"2"	"59"	"1"	0
"3"	"59"	"1"	0
"4"	"59"	"1"	3
"5"	"59"	"1"	2
"1"	"60"	"1"	4
"2"	"60"	"1"	0
"3"	"60"	"1"	1
"4"	"60"	"1"	5
"5"	"60"	"1"	0
"1"	"61"	"1"	0
"2"	"61"	"1"	0
"3"	"61"	"1"	0
"4"	"61"	"1"	13
"5"	"61"	"1"	0
"1"	"62"	"1"	0
"2"	"62"	"1"	0
"3"	"62"	"1"	0
"4"	"62"	"1"	0
"5"	"62"	"1"	0
"1"	"63"	"1"	1
"2"	"63"	"1"	0
"3"	"63"	"1"	0
"4"	"63"	"1"	5
"5"	"63"	"1"	1
"1"	"64"	"1"	3
"2"	"64"	"1"	0
"3"	"64"	"1"	0
"4"	"64"	"1"	6
"5"	"64"	"1"	1
"1"	"65"	"1"	0
"2"	"65"	"1"	0
"3"	"65"	"1"	0
"4"	"65"	"1"	0
"5"	"65"	"1"	0
"1"	"66"	"1"	2
"2"	"66"	"1"	0
"3"	"66"	"1"	0
"4"	"66"	"1"	0
"5"	"66"	"1"	0
"1"	"67"	"1"	0
"2"	"67"	"1"	0
"3"	"67"	"1"	0
"4"	"67"	"1"	1
"5"	"67"	"1"	0
"1"	"68"	"1"	0
"2"	"68"	"1"	0
"3"	"68"	"1"	0
"4"	"68"	"1"	0
"5"	"68"	"1"	0
"1"	"69"	"1"	0
"2"	"69"	"1"	0
"3"	"69"	"1"	0
"4"	"69"	"1"	0
"5"	"69"	"1"	0
"1"	"70"	"1"	2
"2"	"70"	"1"	0
"3"	"70"	"1"	0
"4"	"70"	"1"	0
"5"	"70"	"1"	2
"1"	"71"	"1"	NA
"2"	"71"	"1"	NA
"3"	"71"	"1"	NA
"4"	"71"	"1"	NA
"5"	"71"	"1"	NA
"1"	"72"	"1"	0
"2"	"72"	"1"	0
"3"	"72"	"1"	0
"4"	"72"	"1"	0
"5"	"72"	"1"	0
"1"	"73"	"1"	0
"2"	"73"	"1"	0
"3"	"73"	"1"	0
"4"	"73"	"1"	0
"5"	"73"	"1"	2
